,HDSI_author,year,category_for
77,Eran Mukamel,2020,"['17 Psychology and Cognitive Sciences', '1109 Neurosciences', '0604 Genetics', '06 Biological Sciences', '0601 Biochemistry and Cell Biology', '11 Medical and Health Sciences']"
78,Eran Mukamel,2021,"['17 Psychology and Cognitive Sciences', '1109 Neurosciences', '0604 Genetics', '06 Biological Sciences', '0601 Biochemistry and Cell Biology', '11 Medical and Health Sciences']"
79,"Ery, Arias-Castro ",2016,"['0801 Artificial Intelligence and Image Processing', '01 Mathematical Sciences', '11 Medical and Health Sciences', '17 Psychology and Cognitive Sciences', '1701 Psychology', '0102 Applied Mathematics', '0104 Statistics', '08 Information and Computing Sciences', '1117 Public Health and Health Services', '0806 Information Systems', '14 Economics', '1103 Clinical Sciences', '1403 Econometrics']"
80,"Ery, Arias-Castro ",2017,"['01 Mathematical Sciences', '0906 Electrical and Electronic Engineering', '0102 Applied Mathematics', '0104 Statistics', '09 Engineering', '14 Economics', '0802 Computation Theory and Mathematics', '08 Information and Computing Sciences', '0103 Numerical and Computational Mathematics', '1403 Econometrics']"
81,"Ery, Arias-Castro ",2018,"['17 Psychology and Cognitive Sciences', '01 Mathematical Sciences', '0801 Artificial Intelligence and Image Processing', '16 Studies in Human Society', '11 Medical and Health Sciences', '1701 Psychology', '0104 Statistics', '09 Engineering', '1603 Demography', '0806 Information Systems', '14 Economics', '08 Information and Computing Sciences', '1403 Econometrics', '1103 Clinical Sciences', '0907 Environmental Engineering']"
82,"Ery, Arias-Castro ",2019,"['0801 Artificial Intelligence and Image Processing', '01 Mathematical Sciences', '0104 Statistics', '08 Information and Computing Sciences', '0101 Pure Mathematics']"
83,"Ery, Arias-Castro ",2020,"['01 Mathematical Sciences', '0906 Electrical and Electronic Engineering', '09 Engineering', '0104 Statistics', '1117 Public Health and Health Services', '0806 Information Systems', '08 Information and Computing Sciences', '11 Medical and Health Sciences']"
84,"Ery, Arias-Castro ",2021,"['0801 Artificial Intelligence and Image Processing', '01 Mathematical Sciences', '0906 Electrical and Electronic Engineering', '09 Engineering', '0803 Computer Software', '0104 Statistics', '10 Technology', '0915 Interdisciplinary Engineering', '08 Information and Computing Sciences', '11 Medical and Health Sciences', '1103 Clinical Sciences', '1005 Communications Technologies']"
85,Frank Wuerthwein,2016,"['0802 Computation Theory and Mathematics', '08 Information and Computing Sciences']"
86,Frank Wuerthwein,2017,"['0204 Condensed Matter Physics', '0299 Other Physical Sciences', '0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics', '02 Physical Sciences']"
